title,year,genres,votes,rating,runtimes,certificates,cast,directors,plot
The Equalizer,2014,"Action, Crime, Thriller",400194,7.2,132,R,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",Antoine Fuqua,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
The Toxic Avenger,2023,"Action, Comedy, Horror",206,5.8,102,R,"Jacob Tremblay, Kevin Bacon, Elijah Wood, Peter Dinklage",Macon Blair,"A horrible toxic accident transforms downtrodden janitor, Winston Gooze into a new evolution of hero: The Toxic Avenger."
The Flash,2023,"Action, Adventure, Fantasy",178276,6.7,144,PG-13,"Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon",Andy Muschietti,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
The Beekeeper,2024,"Action, Thriller",,,,R,"Jason Statham, Josh Hutcherson, Minnie Driver, Jeremy Irons",David Ayer,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers""."
The Batman,2022,"Action, Crime, Drama",736008,7.8,176,PG-13,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",Matt Reeves,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
The Meg,2018,"Action, Horror, Sci-Fi",199174,5.6,113,PG-13,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",Jon Turteltaub,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.
Fast X,2023,"Action, Adventure, Crime",97998,5.8,141,PG-13,"Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster",Louis Leterrier,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
65,2023,"Action, Adventure, Drama",73665,5.4,93,PG-13,"Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King","Scott Beck, Bryan Woods",An astronaut crash lands on a mysterious planet only to discover he's not alone.
The Dark Knight,2008,"Action, Crime, Drama",2788179,9.0,152,PG-13,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Killer,2023,"Action, Adventure, Crime",888,7.3,118,R,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",David Fincher,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal."
Infinite,2021,"Action, Sci-Fi, Thriller",57400,5.5,106,PG-13,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien",Antoine Fuqua,A man discovers that his hallucinations are actually visions from past lives.
Napoleon,2023,"Action, Adventure, Biography",,,158,R,"Vanessa Kirby, Joaquin Phoenix, Ludivine Sagnier, Rupert Everett",Ridley Scott,"The film takes a personal look at Napoleon Bonaparte's origins, and his swift, ruthless climb to emperor viewed through the prism of his addictive, and often volatile, relationship with his wife and one true love, Josephine."
John Wick,2014,"Action, Crime, Thriller",715423,7.4,101,R,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Chad Stahelski, David Leitch",An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.
The Machine,2023,"Action, Comedy",11705,5.8,112,R,"Bert Kreischer, Mark Hamill, Jimmy Tatro, Iva Babic",Peter Atencio,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.
Ballerina,2023,"Action, Thriller",1819,6.3,92,TV-MA,"Kim Ji-hoon, Jeon Jong-seo, Park Yu-rim",Chung-Hyun Lee,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge."
Silent Night,2023,Action,,,104,R,"Joel Kinnaman, Catalina Sandino Moreno, Kid Cudi, Harold Torres",John Woo,A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy",482196,7.8,139,R,"Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan","Daniel Kwan, Daniel Scheinert",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
